File,LOC,CC,MaxCC,NPM,NOC,Imports,Label
setup.py,147,1,1,1,0,3,1
conftest.py,97,12,11,2,0,4,0
build_wheel.py,129,6,5,2,0,6,0
docs/__init__.py,13,0,0,0,0,0,0
docs/the-training-cookbook.py,250,27,3,14,3,9,0
docs/autodidax2_part1.py,491,61,5,25,9,4,0
docs/parallel.py,576,14,2,10,3,6,0
docs/conf.py,414,12,10,2,0,9,0
docs/autodidax.py,3039,586,11,254,36,22,1
docs/array_refs.py,443,27,3,26,0,7,0
docs/notebooks/shard_map.py,1639,79,4,55,0,18,0
docs/notebooks/cute_dsl_jax/cute_dsl_jax_kernels.py,363,21,5,13,0,8,0
docs/sphinxext/jax_extensions.py,68,9,3,4,1,3,0
docs/sphinxext/jax_portpicker.py,30,3,2,1,1,2,0
docs/sphinxext/source_include.py,106,26,14,4,1,6,0
docs/sphinxext/jax_list_config_options.py,171,22,10,4,1,6,0
docs/_static/fault_tolerance/cancel_collectives.py,60,2,2,1,0,8,0
docs/_static/fault_tolerance/collectives.py,50,2,2,1,0,7,0
docs/_static/fault_tolerance/while_loop.py,41,2,2,1,0,5,0
docs/_static/fault_tolerance/dont_fail.py,45,2,2,1,0,6,0
docs/_static/fault_tolerance/data_parallelism.py,129,9,4,5,0,8,0
docs/_static/fault_tolerance/data_parallelism_with_recovery.py,182,19,9,8,0,10,0
docs/_static/fault_tolerance/live_devices.py,64,4,4,1,0,8,0
benchmarks/linalg_benchmark.py,209,20,2,10,0,7,0
benchmarks/shape_poly_benchmark.py,85,20,7,6,0,4,0
benchmarks/tracing_benchmark.py,162,25,3,12,0,8,0
benchmarks/api_benchmark.py,968,158,5,88,1,18,0
benchmarks/random_benchmark.py,127,19,3,16,1,3,0
benchmarks/math_benchmark.py,154,9,4,6,0,9,0
benchmarks/sparse_benchmark.py,221,39,7,21,0,7,0
benchmarks/mosaic/matmul_bench.py,110,9,2,7,0,8,0
build/update_requirements_uv.py,161,14,9,2,0,5,0
build/portserver.py,404,64,7,22,3,8,0
build/check_copyright.py,49,6,5,2,0,2,0
build/build.py,839,92,90,3,0,8,1
build/tools/command.py,111,22,5,7,3,5,0
build/tools/utils.py,290,42,6,16,0,13,0
build/rocm/dev_build_rocm.py,166,22,6,7,0,5,0
build/rocm/run_single_gpu.py,229,31,6,11,0,7,0
build/rocm/tools/symbols.py,65,5,3,3,0,3,0
build/rocm/tools/libc.py,62,4,4,1,0,3,0
build/rocm/tools/build_wheels.py,341,45,10,11,0,10,0
build/rocm/tools/fixwheel.py,110,8,3,5,0,10,0
build/rocm/tools/get_rocm.py,364,37,5,15,1,7,0
jax_plugins/oneapi/setup.py,66,1,1,1,0,3,0
jax_plugins/oneapi/plugin_setup.py,72,4,2,2,1,4,0
jax_plugins/oneapi/__init__.py,109,10,5,2,0,7,0
jax_plugins/rocm/setup.py,76,1,1,1,0,3,0
jax_plugins/rocm/plugin_setup.py,96,4,2,2,1,4,0
jax_plugins/rocm/__init__.py,101,10,8,2,0,7,0
jax_plugins/cuda/setup.py,67,1,1,1,0,3,0
jax_plugins/cuda/plugin_setup.py,112,4,2,2,1,4,0
jax_plugins/cuda/__init__.py,405,47,23,8,0,12,0
jax/export.py,40,0,0,0,0,3,0
jax/custom_batching.py,18,0,0,0,0,1,0
jax/ad_checkpoint.py,46,0,0,0,0,4,0
jax/custom_derivatives.py,37,0,0,0,0,2,1
jax/ref.py,28,0,0,0,0,4,0
