File,LOC,CC,MaxCC,NPM,NOC,Imports,Label
numpy/_array_api_info.py,346,21,12,5,1,2,0
numpy/dtypes.py,86,3,2,2,0,2,0
numpy/_globals.py,121,18,4,4,3,3,0
numpy/__init__.py,926,38,20,7,0,49,1
numpy/_distributor_init.py,15,0,0,0,0,1,0
numpy/_pytesttester.py,186,20,10,3,1,4,1
numpy/conftest.py,249,18,4,8,0,14,1
numpy/_expired_attrs_2_0.py,78,0,0,0,0,0,0
numpy/matlib.py,380,12,3,8,0,4,0
numpy/_configtool.py,39,4,4,1,0,5,0
numpy/exceptions.py,246,15,4,2,7,0,0
numpy/_utils/_inspect.py,192,29,7,11,0,1,0
numpy/_utils/__init__.py,95,2,1,5,0,3,0
numpy/_utils/_pep440.py,486,110,10,48,6,3,0
numpy/_utils/_conversions.py,18,4,2,2,0,0,0
numpy/ctypeslib/__init__.py,13,0,0,0,0,1,0
numpy/ctypeslib/_ctypeslib.py,603,91,20,17,2,9,0
numpy/_build_utils/process_src_template.py,66,4,2,3,0,3,0
numpy/_build_utils/conv_template.py,335,36,8,11,0,3,0
numpy/_build_utils/tempita.py,68,5,2,3,0,4,0
numpy/_build_utils/gitversion.py,102,8,5,2,0,5,0
numpy/_build_utils/gcc_build_bitness.py,21,3,3,1,0,2,0
numpy/_build_utils/tempita/__init__.py,4,0,0,0,0,1,0
numpy/_build_utils/tempita/_tempita.py,1116,309,33,57,9,10,0
numpy/_build_utils/tempita/_looper.py,154,37,6,21,3,0,0
numpy/_core/_type_aliases.py,130,0,0,0,0,2,0
numpy/_core/strings.py,1813,98,7,50,0,7,0
numpy/_core/overrides.py,188,14,9,7,0,6,0
numpy/_core/fromnumeric.py,4296,167,9,90,0,9,0
numpy/_core/__init__.py,203,5,3,3,0,22,0
numpy/_core/cversions.py,13,0,0,0,0,3,0
numpy/_core/_add_newdocs.py,7142,3,3,1,0,3,0
numpy/_core/arrayprint.py,1788,282,31,58,9,17,0
numpy/_core/_dtype.py,366,78,18,17,0,1,0
numpy/_core/shape_base.py,996,86,11,26,0,5,0
numpy/_core/_methods.py,252,57,13,15,0,9,0
numpy/_core/_exceptions.py,162,44,5,16,7,0,0
numpy/_core/defchararray.py,1429,104,26,68,1,10,0
