File,LOC,CC,MaxCC,NPM,NOC,Imports,Label
generate_pxi.py,33,3,2,2,0,3,0
generate_version.py,69,8,5,2,0,6,0
ci/import_pandas_check.py,31,0,0,0,0,2,0
scripts/sort_whatsnew_note.py,82,8,5,2,0,6,0
scripts/validate_exception_location.py,105,17,5,6,1,7,0
scripts/__init__.py,0,0,0,0,0,0,0
scripts/validate_rst_title_capitalization.py,291,13,5,3,0,6,0
scripts/run_vulture.py,21,0,0,0,0,3,0
scripts/pandas_errors_documented.py,56,10,6,2,0,7,0
scripts/check_test_naming.py,156,39,15,6,0,8,0
scripts/validate_unwanted_patterns.py,468,61,17,8,0,8,1
scripts/generate_pip_deps_from_conda.py,145,16,8,2,0,5,0
scripts/run_stubtest.py,102,0,0,0,0,7,0
scripts/validate_min_versions_in_sync.py,285,62,13,10,0,10,0
scripts/check_for_inconsistent_pandas_namespace.py,139,26,5,6,2,6,0
scripts/tests/test_validate_unwanted_patterns.py,338,23,9,5,2,3,0
scripts/tests/test_check_test_naming.py,40,3,3,1,0,2,0
scripts/tests/__init__.py,0,0,0,0,0,0,0
scripts/tests/test_inconsistent_namespace_check.py,57,5,2,3,0,2,0
scripts/tests/conftest.py,8,1,1,1,0,0,0
scripts/tests/test_sort_whatsnew_note.py,30,2,2,1,0,1,0
scripts/tests/test_validate_min_versions_in_sync.py,58,2,2,1,0,5,0
scripts/tests/test_validate_exception_location.py,59,5,2,4,0,2,0
doc/make.py,391,58,8,14,1,10,0
doc/scripts/eval_performance.py,108,9,4,4,0,6,0
doc/sphinxext/contributors.py,58,12,6,2,1,4,0
doc/sphinxext/announce.py,176,18,9,5,0,6,0
doc/source/conf.py,1154,81,17,14,6,18,1
web/pandas_web.py,506,53,8,12,1,21,0
web/tests/test_pandas_web.py,88,10,3,7,1,4,0
pandas/testing.py,17,0,0,0,0,1,0
pandas/__init__.py,346,0,0,0,0,18,1
pandas/_typing.py,580,41,2,23,9,25,1
pandas/conftest.py,2235,142,5,134,2,28,1
pandas/_config/__init__.py,55,4,1,4,0,7,0
pandas/_config/dates.py,26,0,0,0,0,2,0
pandas/_config/localization.py,178,17,6,4,0,9,1
