File,LOC,CC,MaxCC,NPM,NOC,Imports,Label
manage.py,9,0,0,0,0,1,0
redash/security.py,70,3,2,5,0,6,0
redash/wsgi.py,3,0,0,0,0,1,0
redash/__init__.py,55,4,4,1,0,14,0
redash/worker.py,48,9,4,2,2,6,0
redash/version_check.py,103,14,5,5,0,6,0
redash/monitor.py,120,22,3,11,0,6,0
redash/permissions.py,118,35,7,17,1,4,0
redash/app.py,59,4,2,2,1,9,0
redash/tasks/general.py,92,15,4,7,0,8,0
redash/tasks/failure_report.py,95,17,7,6,0,7,0
redash/tasks/__init__.py,31,1,1,1,0,8,0
redash/tasks/worker.py,200,42,17,8,7,11,0
redash/tasks/alerts.py,54,14,6,3,0,4,0
redash/tasks/databricks.py,54,10,4,4,0,4,0
redash/tasks/schedule.py,116,17,8,5,1,11,0
redash/tasks/queries/maintenance.py,219,35,7,9,1,11,0
redash/tasks/queries/__init__.py,8,0,0,0,0,2,0
redash/tasks/queries/execution.py,312,52,14,12,2,16,0
redash/destinations/webex.py,230,24,7,6,1,7,0
redash/destinations/hangoutschat.py,96,16,9,5,1,4,0
redash/destinations/slack.py,61,12,6,3,1,4,0
redash/destinations/discord.py,70,13,7,3,1,5,0
redash/destinations/__init__.py,84,19,2,12,1,1,0
redash/destinations/asana.py,64,10,4,4,1,5,0
redash/destinations/microsoft_teams_webhook.py,114,11,3,6,1,5,0
redash/destinations/chatwork.py,64,10,5,3,1,3,0
redash/destinations/email.py,57,13,7,3,1,4,1
redash/destinations/mattermost.py,56,16,9,3,1,4,0
redash/destinations/webhook.py,56,9,4,3,1,6,0
redash/destinations/pagerduty.py,82,13,7,4,1,3,0
redash/destinations/datadog.py,93,14,8,3,1,5,0
redash/handlers/query_snippets.py,76,11,3,5,2,5,0
redash/handlers/query_results.py,412,81,15,17,5,14,1
redash/handlers/events.py,69,17,5,5,1,6,0
redash/handlers/users.py,322,75,19,14,6,13,1
redash/handlers/base.py,140,35,7,14,1,14,0
redash/handlers/organization.py,22,1,1,1,0,5,1
redash/handlers/api.py,287,8,3,2,1,21,0
redash/handlers/queries.py,527,76,10,17,12,15,1
redash/handlers/__init__.py,37,3,1,3,0,8,0
redash/handlers/widgets.py,80,9,3,3,2,5,1
redash/handlers/authentication.py,343,58,13,17,0,11,1
redash/handlers/favorites.py,75,14,3,4,2,4,0
redash/handlers/static.py,33,4,2,3,0,8,0
redash/handlers/groups.py,195,42,4,13,6,5,0
redash/handlers/alerts.py,158,30,3,11,6,7,0
redash/handlers/databricks.py,85,25,4,8,3,8,0
redash/handlers/embed.py,61,3,2,2,0,8,1
redash/handlers/setup.py,75,9,7,2,1,9,0
redash/handlers/webpack.py,27,1,1,3,0,3,0
redash/handlers/data_sources.py,248,55,6,10,6,14,1
redash/handlers/destinations.py,134,28,5,6,3,8,1
redash/handlers/permissions.py,104,15,3,5,2,7,0
redash/handlers/settings.py,66,14,5,3,1,5,0
redash/handlers/admin.py,54,3,2,2,0,9,0
redash/handlers/visualizations.py,56,7,2,3,2,5,0
redash/handlers/dashboards.py,415,50,4,12,8,10,0
redash/models/changes.py,92,18,3,6,2,4,0
redash/models/users.py,422,86,5,50,6,17,1
redash/models/base.py,110,22,4,9,3,8,0
redash/models/organizations.py,85,19,4,13,1,8,0
redash/models/types.py,107,35,3,14,6,7,0
redash/models/mixins.py,28,8,3,2,2,2,0
redash/models/__init__.py,1538,249,12,114,15,30,1
redash/models/parameterized_query.py,211,63,9,20,3,8,1
redash/cli/database.py,125,11,3,7,0,18,0
redash/cli/users.py,328,34,7,8,0,8,1
redash/cli/organization.py,56,7,3,4,0,3,0
redash/cli/queries.py,80,10,4,3,0,6,0
redash/cli/__init__.py,93,10,2,8,0,14,0
redash/cli/groups.py,122,14,6,4,0,5,0
redash/cli/data_sources.py,237,32,12,9,0,9,0
redash/cli/rq.py,93,22,9,4,1,14,0
redash/settings/helpers.py,66,15,4,7,0,2,0
redash/settings/organization.py,76,0,0,0,0,2,0
redash/settings/dynamic_settings.py,65,5,2,4,0,2,0
redash/settings/__init__.py,471,1,1,1,0,7,0
redash/serializers/query_result.py,124,23,5,7,0,7,1
redash/serializers/__init__.py,336,72,10,12,3,8,0
redash/utils/query_order.py,310,77,15,15,2,7,0
redash/utils/human_time.py,11,1,1,1,0,3,0
redash/utils/requests_session.py,26,5,3,1,1,5,0
redash/utils/configuration.py,105,35,5,15,1,5,0
redash/utils/pandas.py,47,9,8,2,0,5,0
redash/utils/__init__.py,242,69,15,24,2,23,1
redash/utils/sentry.py,44,6,4,2,0,8,0
redash/metrics/database.py,60,10,5,3,0,8,0
redash/metrics/request.py,54,8,4,4,0,5,0
redash/metrics/__init__.py,0,0,0,0,0,0,0
redash/authentication/ldap_auth.py,100,11,7,2,0,10,0
redash/authentication/account.py,78,9,1,9,0,6,0
redash/authentication/org_resolving.py,24,3,3,1,0,4,0
redash/authentication/saml_auth.py,178,19,8,3,0,13,1
redash/authentication/google_oauth.py,144,13,4,8,0,7,0
redash/authentication/__init__.py,317,67,10,16,0,18,0
redash/authentication/jwt_auth.py,82,13,6,4,0,4,0
redash/authentication/remote_user_auth.py,51,6,6,1,0,6,0
redash/query_runner/csv.py,115,18,9,7,1,7,0
redash/query_runner/memsql_ds.py,143,27,12,5,1,3,0
redash/query_runner/google_spreadsheets.py,270,66,10,23,5,14,0
redash/query_runner/azure_kusto.py,226,31,10,8,1,4,0
redash/query_runner/uptycs.py,125,16,4,6,1,6,0
redash/query_runner/big_query.py,416,73,16,20,1,13,0
redash/query_runner/jql.py,214,69,20,15,3,4,0
redash/query_runner/json_ds.py,284,85,10,21,5,6,0
redash/query_runner/phoenix.py,117,16,6,5,1,4,0
redash/query_runner/cloudwatch_insights.py,152,28,6,11,1,7,0
redash/query_runner/druid.py,93,17,7,4,1,2,0
redash/query_runner/ignite.py,174,33,6,10,1,6,0
redash/query_runner/query_results.py,216,51,10,14,3,11,0
redash/query_runner/hive_ds.py,232,42,13,10,2,6,1
redash/query_runner/arango.py,90,12,4,5,1,4,0
redash/query_runner/rockset.py,127,38,6,12,2,2,0
redash/query_runner/nz.py,173,27,8,8,1,5,0
redash/query_runner/yandex_disk.py,165,27,11,8,1,9,0
redash/query_runner/sparql_endpoint.py,217,30,6,12,1,8,0
redash/query_runner/elasticsearch.py,482,85,21,19,3,10,0
redash/query_runner/databend.py,145,33,10,8,1,3,0
redash/query_runner/google_analytics.py,193,44,16,10,1,10,0
redash/query_runner/snowflake.py,209,30,7,10,1,5,0
redash/query_runner/prometheus.py,261,44,11,11,1,9,0
redash/query_runner/couchbase.py,164,26,7,11,1,5,0
redash/query_runner/trino.py,238,49,10,9,1,8,0
redash/query_runner/graphite.py,97,15,3,5,1,4,0
redash/query_runner/__init__.py,525,113,7,45,5,10,1
redash/query_runner/script.py,80,18,3,8,1,3,0
redash/query_runner/clickhouse.py,234,47,9,13,1,6,1
redash/query_runner/impala_ds.py,140,21,7,4,1,4,0
redash/query_runner/db2.py,148,22,8,7,1,5,0
redash/query_runner/excel.py,113,17,9,6,1,8,0
redash/query_runner/axibase_tsd.py,208,18,4,8,1,8,1
redash/query_runner/sqlite.py,79,18,6,5,1,3,0
redash/query_runner/cass.py,184,28,5,11,2,9,0
redash/query_runner/athena.py,302,48,12,10,2,6,1
redash/query_runner/drill.py,145,26,7,6,1,5,0
redash/query_runner/google_analytics4.py,181,27,7,10,1,9,0
redash/query_runner/google_search_console.py,164,30,10,10,1,9,0
redash/query_runner/d1.py,152,29,6,8,1,4,0
redash/query_runner/elasticsearch2.py,308,52,16,27,3,4,0
redash/query_runner/pg.py,556,73,8,27,4,10,1
redash/query_runner/yandex_metrica.py,195,35,9,12,3,6,1
redash/query_runner/influx_db_v2.py,214,24,6,9,1,7,0
redash/query_runner/salesforce.py,192,38,6,11,1,7,0
redash/query_runner/python.py,369,66,9,24,2,12,0
redash/query_runner/databricks.py,193,33,10,11,1,7,1
redash/query_runner/cloudwatch.py,127,22,5,10,1,5,0
redash/query_runner/duckdb.py,188,37,9,7,1,3,0
redash/query_runner/pinot.py,143,23,5,9,1,5,0
redash/query_runner/treasuredata.py,124,19,6,5,1,4,0
redash/query_runner/vertica.py,144,20,8,4,1,4,0
