File,LOC,CC,MaxCC,NPM,NOC,Imports,Label
conftest.py,142,22,10,7,0,13,0
scrapy/mail.py,244,23,10,8,1,25,1
scrapy/signalmanager.py,116,10,2,9,1,8,1
scrapy/exporters.py,375,111,14,40,9,16,1
scrapy/addons.py,72,13,5,3,1,8,0
scrapy/spiderloader.py,151,36,5,17,3,14,0
scrapy/__main__.py,4,0,0,0,0,1,0
scrapy/exceptions.py,123,26,2,4,18,3,0
scrapy/statscollectors.py,134,33,4,21,3,7,0
scrapy/item.py,132,36,8,13,3,9,0
scrapy/resolver.py,148,31,3,15,4,11,1
scrapy/cmdline.py,244,54,11,15,1,18,1
scrapy/__init__.py,38,0,0,0,0,7,0
scrapy/crawler.py,1050,168,12,59,7,36,1
scrapy/middleware.py,165,31,6,10,1,18,0
scrapy/extension.py,25,3,2,1,1,5,0
scrapy/robotstxt.py,123,25,3,12,4,12,1
scrapy/responsetypes.py,145,34,8,8,1,9,0
scrapy/squeues.py,176,6,2,16,4,12,0
scrapy/shell.py,340,47,7,14,1,26,0
scrapy/pqueues.py,439,110,16,31,4,10,0
scrapy/interfaces.py,19,6,2,4,1,1,0
scrapy/link.py,59,12,5,4,1,0,0
scrapy/signals.py,28,0,0,0,0,0,0
scrapy/logformatter.py,195,18,3,7,2,11,0
scrapy/dupefilters.py,138,26,4,11,2,13,1
scrapy/linkextractors/__init__.py,133,3,2,2,0,5,0
scrapy/linkextractors/lxmlhtml.py,284,80,13,16,2,21,1
scrapy/http/cookies.py,216,56,9,32,4,12,0
scrapy/http/headers.py,141,38,5,17,1,8,0
scrapy/http/__init__.py,45,0,0,0,0,13,0
scrapy/http/response/html.py,12,1,1,0,1,1,0
scrapy/http/response/text.py,314,52,9,19,2,17,1
scrapy/http/response/xml.py,12,1,1,0,1,1,0
scrapy/http/response/json.py,12,1,1,0,1,1,0
scrapy/http/response/__init__.py,315,43,4,23,1,14,1
scrapy/http/request/__init__.py,426,62,11,24,2,13,1
scrapy/http/request/json_request.py,83,19,7,6,1,7,0
scrapy/http/request/rpc.py,42,13,7,1,1,6,0
scrapy/http/request/form.py,276,71,16,9,1,13,1
scrapy/selector/__init__.py,11,0,0,0,0,1,0
scrapy/selector/unified.py,101,19,7,3,2,7,0
scrapy/utils/response.py,111,12,4,5,0,13,1
scrapy/utils/httpobj.py,24,2,2,1,0,5,0
